Date,Open,High,Low,Close
07/30/2025,"9,136.32","9,146.79","9,091.54","9,136.94"
07/29/2025,"9,081.44","9,163.24","9,076.38","9,136.32"
07/28/2025,"9,120.31","9,169.01","9,058.42","9,081.44"
07/25/2025,"9,138.37","9,145.02","9,094.67","9,120.31"
07/24/2025,"9,061.49","9,158.21","9,060.71","9,138.37"
07/23/2025,"9,023.81","9,080.09","9,023.27","9,061.49"
07/22/2025,"9,012.99","9,035.37","8,995.11","9,023.81"
07/21/2025,"8,992.12","9,012.99","8,975.22","9,012.99"
07/18/2025,"8,972.64","9,016.36","8,969.09","8,992.12"
07/17/2025,"8,926.55","8,982.84","8,926.55","8,972.64"
07/16/2025,"8,938.32","8,972.29","8,926.55","8,926.55"
07/15/2025,"8,998.06","9,016.98","8,938.32","8,938.32"
07/14/2025,"8,941.12","8,999.22","8,931.09","8,998.06"
07/11/2025,"8,975.66","8,984.14","8,918.49","8,941.12"
07/10/2025,"8,867.02","8,979.41","8,867.02","8,975.66"
07/09/2025,"8,854.18","8,887.70","8,854.18","8,867.02"
07/08/2025,"8,806.53","8,854.18","8,803.27","8,854.18"
07/07/2025,"8,822.91","8,836.88","8,798.66","8,806.53"
07/04/2025,"8,823.20","8,830.93","8,782.06","8,822.91"
07/03/2025,"8,774.69","8,837.75","8,774.66","8,823.20"
07/02/2025,"8,785.33","8,828.16","8,738.99","8,774.69"
07/01/2025,"8,760.96","8,790.84","8,726.92","8,785.33"
06/30/2025,"8,798.91","8,818.44","8,760.96","8,760.96"
06/27/2025,"8,735.60","8,798.91","8,735.60","8,798.91"
06/26/2025,"8,718.75","8,757.10","8,707.65","8,735.60"
06/25/2025,"8,758.99","8,792.43","8,716.19","8,718.75"
06/24/2025,"8,758.04","8,831.90","8,757.97","8,758.99"
06/23/2025,"8,774.65","8,787.06","8,741.40","8,758.04"
06/20/2025,"8,791.80","8,847.28","8,772.32","8,774.65"
06/19/2025,"8,843.47","8,844.12","8,788.77","8,791.80"
06/18/2025,"8,834.03","8,858.56","8,820.42","8,843.47"
06/17/2025,"8,875.22","8,875.22","8,809.91","8,834.03"
06/16/2025,"8,850.63","8,902.40","8,850.63","8,875.22"
06/13/2025,"8,884.92","8,898.63","8,822.20","8,850.63"
06/12/2025,"8,864.35","8,896.88","8,843.63","8,884.92"
06/11/2025,"8,853.08","8,885.38","8,847.30","8,864.35"
06/10/2025,"8,832.28","8,886.06","8,832.28","8,853.08"
06/09/2025,"8,837.91","8,850.87","8,812.06","8,832.28"
06/06/2025,"8,811.04","8,851.38","8,805.57","8,837.91"
06/05/2025,"8,801.29","8,838.84","8,782.08","8,811.04"
06/04/2025,"8,787.02","8,821.42","8,780.36","8,801.29"
06/03/2025,"8,774.26","8,801.46","8,738.45","8,787.02"
06/02/2025,"8,772.38","8,792.08","8,730.64","8,774.26"
05/30/2025,"8,716.45","8,790.45","8,715.64","8,772.38"
05/29/2025,"8,726.01","8,776.27","8,709.11","8,716.45"
05/28/2025,"8,778.05","8,799.77","8,726.01","8,726.01"
05/27/2025,"8,717.97","8,824.00","8,717.97","8,778.05"
05/23/2025,"8,739.26","8,779.36","8,604.80","8,717.97"
05/22/2025,"8,786.46","8,786.46","8,689.44","8,739.26"
05/21/2025,"8,781.12","8,798.46","8,761.95","8,786.46"
05/20/2025,"8,699.31","8,789.43","8,698.05","8,781.12"
05/19/2025,"8,684.56","8,699.31","8,613.47","8,699.31"
05/16/2025,"8,633.75","8,697.00","8,633.63","8,684.56"
05/15/2025,"8,585.01","8,634.56","8,531.06","8,633.75"
05/14/2025,"8,602.92","8,616.13","8,558.24","8,585.01"
05/13/2025,"8,604.98","8,623.78","8,583.92","8,602.92"
